,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
286,31-03-1960,,Klub Parlamentarny Prawo i Sprawiedliwość,15049,Prawo i Sprawiedliwość,14  Nowy Sącz,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Geodezji Inżynieryjno-Gospodarczej, Geodezja inżynieryjno-gospodarcza - magister inżynier (1983)",25-10-2015,,wyższe,parlamentarzysta,Anna Paluch
287,19-03-1967,,Klub Poselski Nowoczesna,7787,Nowoczesna Ryszarda Petru,35  Olsztyn,brak,,,"Uniwersytet Warszawski, Wydział Prawa, Prawo - magister (1992)",25-10-2015,,wyższe,radca prawny,Mirosław Pampuch
288,13-02-1977,,Klub Parlamentarny Platforma Obywatelska,17376,Platforma Obywatelska,35  Olsztyn,poseł VII kadencji,,,"Uniwersytet Warmińsko-Mazurski, Wydział Humanistyczny, Stosunki międzynarodowe - licencjat (2007)",25-10-2015,,wyższe,pedagog,Paweł Papke
289,26-12-1986,,Klub Poselski Kukiz'15,10408,Kukiz'15,38  Piła,brak,,,"Szkoła Główna Handlowa w Warszawie, Metody ilościowe w ekonomii i systemy informacyjne - magister (2013)",25-10-2015,,wyższe,ekonomista,Błażej Parda
290,28-01-1977,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,6354,Polskie Stronnictwo Ludowe,35  Olsztyn,poseł VII kadencji,,,"Uniwersytet Gdański, Wydział Prawa, Prawo - magister (2001)",25-10-2015,,wyższe,prawnik,Urszula Pasławska
291,10-04-1979,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,3345,Polskie Stronnictwo Ludowe,38  Piła,brak,,,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (2005)",25-10-2015,,wyższe,prawnik,Krzysztof Paszyk
292,08-11-1972,,Klub Parlamentarny Prawo i Sprawiedliwość,12540,Prawo i Sprawiedliwość,23  Rzeszów,brak,,,"Wyższa Szkoła Inżynieryjno-Ekonomiczna, Wydział Ogrodnictwo, Kształtowanie terenów zieleni - inżynier (2011)",25-10-2015,,wyższe,inżynier ogrodnictwa,Jerzy Paul
293,14-04-1952,,Klub Parlamentarny Prawo i Sprawiedliwość,18070,Prawo i Sprawiedliwość,18  Siedlce,poseł VII kadencji,, doktor habilitowany,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1976)",25-10-2015,,wyższe,nauczyciel akademicki,Krystyna Pawłowicz
294,22-09-1943,,Klub Parlamentarny Platforma Obywatelska,32552,Platforma Obywatelska,4  Bydgoszcz,senator VII kadencji,, doktor,"Wojskowa Akademia Medyczna, Wydział Lekarski - lekarz (1967)",25-10-2015,,wyższe,lekarz,Zbigniew Pawłowicz
295,06-07-1972,,Klub Poselski Nowoczesna,129088,Nowoczesna Ryszarda Petru,19  Warszawa,brak,,,"Szkoła Główna Handlowa w Warszawie, Wydział Kolegium Międzynarodowe Stosunki Gospodarcze i Polityczne, Stosunki międzynarodowe - magister (1997)",25-10-2015,,wyższe,ekonomista,Ryszard Petru
