,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
110,04-12-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,43539,Prawo i Sprawiedliwość,13  Kraków,"senator VI kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Jagielloński w Krakowie, Wydział Filozofii, Filozofia - magister (1985)",25-10-2015,,wyższe,nauczyciel akademicki,Jarosław Gowin
111,Klub Parlamentarny Prawo i Sprawiedliwość,,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",6262,Prawo i Sprawiedliwość,19  Warszawa,Zmarł,,wyższe, doktor,25-10-2015,2016-04-01,30-01-1970,"Akademia Teologii Katolickiej, Wydział Politologii i Nauk Społecznych, Chrześcijańskie Nauki Społeczne - magister (1994)",Artur Górski
112,26-04-1960,,Klub Parlamentarny Platforma Obywatelska,26591,Platforma Obywatelska,9  Łódź,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1984)",25-10-2015,,wyższe,adwokat,Cezary Grabarczyk
113,02-11-1972,,Klub Parlamentarny Platforma Obywatelska,10929,Platforma Obywatelska,20  Warszawa,brak,,,"Akademia Teologii Katolickiej, Wydział Filozofii, Etyka - magister (1996)",25-10-2015,,wyższe,urzędnik państwowy,Jan Grabiec
114,19-08-1986,,Klub Poselski Kukiz'15,4508,Kukiz'15,21  Opole,brak,,,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Politologia - magister (2012)",25-10-2015,,wyższe,radca prawny,Paweł Grabowski
115,26-09-1952,,Klub Parlamentarny Platforma Obywatelska,29122,Platforma Obywatelska,39  Poznań,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Polonistyki, Historia Literatury - magister (1976)",25-10-2015,,wyższe,poseł,Rafał Grupiński
116,01-06-1965,,Klub Parlamentarny Prawo i Sprawiedliwość,1011,Nowoczesna Ryszarda Petru,19  Warszawa,brak,,,"Akademia Rolniczo-Techniczna, Wydział Geodezji, Geodezja - magister inżynier (1990)",25-10-2015,,wyższe,przedsiębiorca,Zbigniew Gryglas
117,10-06-1962,,Klub Parlamentarny Prawo i Sprawiedliwość,6787,Prawo i Sprawiedliwość,24  Białystok,"poseł V kadencji, poseł VI kadencji",,,"Technikum Melioracji Wodnych, Melioracja - technik (1982)",25-10-2015,,średnie zawodowe,pracownik samorządowy,Kazimierz Gwiazdowski
118,26-11-1961,,Klub Parlamentarny Platforma Obywatelska,13859,Platforma Obywatelska,19  Warszawa,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Szkoła Główna Handlowa w Warszawie, Wydział Handel Wewnetrzny, Transport Lotniczy, Ekonomika i Organizacja Transportu Lotniczego - magister (1990)",25-10-2015,,wyższe,ekonomista,Andrzej Halicki
119,13-04-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,6451,Prawo i Sprawiedliwość,7  Chełm,brak,,,Liceum Ogólnokształcące w Tarnogórze (1972),25-10-2015,,średnie ogólne,rolnik,Teresa Hałas
120,12-01-1963,,Klub Parlamentarny Platforma Obywatelska,12128,Platforma Obywatelska,11  Sieradz,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1987)",25-10-2015,,wyższe,prawnik,Agnieszka Hanajczyk
121,19-04-1976,,Klub Parlamentarny Platforma Obywatelska,8599,Platforma Obywatelska,36  Kalisz,poseł VII kadencji,,,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Filologii Polskiej i Klasycznej, Filologia polska - magister (2014)",25-10-2015,,wyższe,parlamentarzysta,Bożena Henczyca
122,05-10-1977,,Klub Poselski Nowoczesna,7306,Nowoczesna Ryszarda Petru,37  Konin,brak,,,"Szkoła Wyższa im. P. Włodkowica w Płocku, Wydział Politologii, Politologia i Nauki Społeczne - licencjat (1999)",25-10-2015,,wyższe,ekonomista,Paulina Hennig-Kloska
123,26-01-1951,,Klub Parlamentarny Platforma Obywatelska,12899,Platforma Obywatelska,18  Siedlce,"poseł V kadencji, poseł VI kadencji",,,"Politechnika Warszawska, Wydział Inżynierii Środowiska, Technologia Oczyszczania Ścieków, Wody i Gospodarka Odpadami - magister inżynier (1975)",25-10-2015,,wyższe,inżynier ochrony środowiska,Jolanta Hibner
124,Klub Parlamentarny Prawo i Sprawiedliwość,,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",25072,Prawo i Sprawiedliwość,40  Koszalin,Uzyskał mandat posła do Parlamentu Europejskiego,,,wyższe,25-10-2015,2015-11-26,22-02-1954,"Pomorska Akademia Medyczna, Wydział Lekarski - lekarz (1979)",Czesław Hoc
125,15-06-1953,,Klub Parlamentarny Platforma Obywatelska,17647,Platforma Obywatelska,40  Koszalin,poseł VII kadencji,http://www.marekhok.pl/,,"Pomorski Uniwersytet Medyczny, Wydział Lekarski - lekarz (1978)",25-10-2015,,wyższe,lekarz,Marek Hok
126,02-10-1981,,Klub Parlamentarny Prawo i Sprawiedliwość,10546,Prawo i Sprawiedliwość,26  Gdynia,brak,,,"Uniwersytet Gdański, Wydział Nauk Społecznych, Politologia - magister (2004)",25-10-2015,,wyższe,prawnik,Marcin Horała
127,07-10-1945,,Klub Parlamentarny Prawo i Sprawiedliwość,27010,Prawo i Sprawiedliwość,23  Rzeszów,poseł VII kadencji,,profesor doktor habilitowany(2006),"Uniwersytet Warszawski, Wydział Psychologii i Pedagogiki - magister (1970)",25-10-2015,,wyższe,nauczyciel akademicki,Józefa Hrynkiewicz
128,24-04-1953,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,15206,Platforma Obywatelska,1  Legnica,"senator V kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Matematyki, Fizyki i Chemii, Fizyka Doświadczalna - magister (1977)",25-10-2015,,wyższe,parlamentarzysta,Stanisław Huskowski
129,23-09-1951,,Klub Parlamentarny Prawo i Sprawiedliwość,6183,Prawo i Sprawiedliwość,41  Szczecin,"poseł V kadencji, poseł VII kadencji",,,"Wojskowa Akademia Techniczna, Wydział Elektroniki, Radiolokacja (1973)",25-10-2015,,wyższe,ekonomista,Michał Jach
130,17-11-1949,,Klub Poselski Kukiz'15,11654,Kukiz'15,27  Bielsko-Biała,brak,,,"Politechnika Śląska, Wydział Metalurgiczny, Przeróbka Plastyczna Metali - inżynier (1972)",25-10-2015,,wyższe,inżynier metalurg,Jerzy Jachnik
131,11-05-1985,,Klub Parlamentarny Prawo i Sprawiedliwość,29923,Prawo i Sprawiedliwość,21  Opole,poseł VII kadencji,,,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Politologia - magister (2010)",25-10-2015,,wyższe,politolog,Patryk Jaki
132,30-04-1959,,Klub Poselski Kukiz'15,11131,Kukiz'15,16  Płock,brak,,,"Szkoła Chorążych, Wydział Lotnictwo, Eksploatacja Samolotu - technik (1980)",25-10-2015,,średnie policelane/pomaturalne,przedsiębiorca,Marek Jakubiak
133,07-04-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,16349,Prawo i Sprawiedliwość,14  Nowy Sącz,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Jagielloński w Krakowie, Wydział Filologiczny, Filologia Polska - magister (1993)",25-10-2015,,wyższe,parlamentarzysta,Wiesław Janczyk
134,27-06-1965,,Klub Parlamentarny Prawo i Sprawiedliwość,9355,Prawo i Sprawiedliwość,30  Rybnik,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Wychowania Fizycznego w Katowicach, Wydział Nauczycielski - magister (1989)",25-10-2015,,wyższe,nauczyciel wychowania fizycznego,Grzegorz Janik
135,16-01-1962,,Klub Parlamentarny Platforma Obywatelska,21700,Platforma Obywatelska,38  Piła,poseł VII kadencji,,,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomiki Produkcji i Obrotu, Ekonomika i Organizacja Obrotu Towarowego i Usług - magister (1985)",25-10-2015,,wyższe,parlamentarzysta,Maria Małgorzata Janyska
136,26-01-1981,,Klub Poselski Nowoczesna,12235,Platforma Obywatelska,3  Wrocław,"poseł VI kadencji, poseł VII kadencji",,,"Akademia Ekonomiczna we Wrocławiu, Wydział Inżynieryjno-Ekonomiczny, Zarządzanie i inżynieria produkcji - magister inżynier (2006)",25-10-2015,,wyższe,parlamentarzysta,Michał Jaros
137,03-06-1981,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,4379,Polskie Stronnictwo Ludowe,33  Kielce,brak,,,"Wyższa Szkoła Ekonomii i Prawa w Kielcach, Pozyskiwanie i zarządzanie funduszami Unii Europejskiej (2009) - studia podyplomowe",25-10-2015,,wyższe,pracownik samorządowy,Krystian Jarubas
138,01-04-1948,,Klub Parlamentarny Prawo i Sprawiedliwość,31106,Prawo i Sprawiedliwość,16  Płock,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Prawa, Prawo - magister (1972)",25-10-2015,2015-12-15,wyższe,prawnik,Wojciech Jasiński
139,31-07-1974,,Klub Poselski Kukiz'15,10952,Kukiz'15,28  Częstochowa,brak,,,"Wyższa Szkoła Pedagogiczna, Wydział Filozoficzno-Historyczny, Historia - magister (1998)",25-10-2015,,wyższe,dyrektor generalny,Tomasz Jaskóła
140,16-12-1970,,Klub Parlamentarny Prawo i Sprawiedliwość,25875,Prawo i Sprawiedliwość,25  Gdańsk,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Historyczny, Etnologia - magister (1995)",25-10-2015,2016-05-14,wyższe,menadżer,Andrzej Jaworski
141,28-04-1962,,Klub Parlamentarny Prawo i Sprawiedliwość,13982,Prawo i Sprawiedliwość,3  Wrocław,poseł VII kadencji,,profesor doktor habilitowany(2004),"Uniwersytet Wrocławski, Wydział Nauk Przyrodniczych, Geologia - magister (1985)",25-10-2015,,wyższe,nauczyciel akademicki,Mariusz Orion Jędrysek
142,01-08-1973,,Klub Poselski Kukiz'15,8747,Kukiz'15,37  Konin,brak,, doktor,"Uniwersytet im. A. Mickiewicza w Poznaniu, Wydział Historyczny, Archeologia - magister (1997)",25-10-2015,,wyższe,nauczyciel akademicki,Bartosz Józwiak
143,18-11-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,44620,Prawo i Sprawiedliwość,24  Białystok,"poseł III kadencji, poseł IV kadencji, senator V kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Warszawska, Wydział Geodezji i Kartografii - magister inżynier (1992)",25-10-2015,,wyższe,poseł na Sejm RP,Krzysztof Jurgiel
144,16-11-1989,,Klub Poselski Kukiz'15,8926,Kukiz'15,15  Tarnów,brak,http://norbertkaczmarczyk.pl/,,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego, Wydział Prawa, Administracji i Stosunków Międzynarodowych, Politologia - Komunikacja Społeczna - magister (2013)",25-10-2015,,wyższe,rolnik,Norbert Kaczmarczyk
145,18-06-1949,,Klub Parlamentarny Prawo i Sprawiedliwość,202424,Prawo i Sprawiedliwość,19  Warszawa,"senator I kadencji, poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Warszawski, Wydział Prawa i Administracji - magister (1971)",25-10-2015,,wyższe,prawnik,Jarosław Kaczyński
146,25-06-1968,,Klub Parlamentarny Prawo i Sprawiedliwość,6848,Prawo i Sprawiedliwość,36  Kalisz,senator VII kadencji,,,Pomaturalne Studium Zawodowe przy Technikum Budowlanym w Kaliszu - technik (1988),25-10-2015,,średnie policelane/pomaturalne,urzędnik samorządowy,Piotr Kaleta
147,27-08-1965,,Klub Parlamentarny Platforma Obywatelska,9826,Platforma Obywatelska,24  Białystok,poseł VII kadencji,,,"Wyższa Szkoła Finansów i Zarządzania, Wydział Zarządzanie i Marketing, Marketing - magister (1999)",25-10-2015,,wyższe,ekonomistka,Bożena Kamińska
148,25-09-1965,,Klub Parlamentarny Prawo i Sprawiedliwość,29654,Prawo i Sprawiedliwość,19  Warszawa,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1990)",25-10-2015,,wyższe,historyk,Mariusz Kamiński
149,28-03-1972,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,5877,Platforma Obywatelska,20  Warszawa,"poseł III kadencji, poseł IV kadencji",,,Wyższa Szkoła Stosunków Międzynarodowych i Amerykanistyki w Warszawie - magister (2014),25-10-2015,,wyższe,politolog,Michał Kamiński
150,16-11-1961,,Klub Parlamentarny Platforma Obywatelska,10260,Platforma Obywatelska,6  Lublin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Politechnika Warszawska, Wydział Inżynierii Chemicznej, Inzynieria Chemiczna i Procesowa - magister inżynier (1990)",25-10-2015,,wyższe,inżynier chemik,Włodzimierz Karpiński
151,30-03-1953,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,5251,Polskie Stronnictwo Ludowe,22  Krosno,"poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Rolnicza w Krakowie, Wydział Ekonomiki Produkcji i Obrotu Rolnego - magister inżynier (1978)",25-10-2015,,wyższe,parlamentarzysta,Mieczysław Kasprzak
152,11-02-1966,,Klub Parlamentarny Prawo i Sprawiedliwość,29877,Prawo i Sprawiedliwość,3  Wrocław,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Prawa i Administracji - magister (1990)",25-10-2015,,wyższe,prawnik,Beata Kempa
153,05-05-1957,Wicemarszałek Sejmu od 12-11-2015,Klub Parlamentarny Platforma Obywatelska,80866,Platforma Obywatelska,20  Warszawa,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Socjologia - magister (1983)",25-10-2015,,wyższe,producent filmowy,Małgorzata Kidawa-Błońska
154,22-08-1976,,Klub Parlamentarny Platforma Obywatelska,16271,Platforma Obywatelska,16  Płock,poseł VII kadencji,,,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, Elektronika Biomedyczna - magister inżynier (2001)",25-10-2015,,wyższe,inżynier elektronik,Marcin Kierwiński
155,27-12-1953,,Klub Parlamentarny Prawo i Sprawiedliwość,6675,Prawo i Sprawiedliwość,25  Gdańsk,brak,,,"Politechnika Gdańska, Wydział Budowy Maszyn, Maszyny i Urządzenia Przemysłu Energetycznego - inżynier (1980)",25-10-2015,,wyższe,inżynier mechanik,Jan Kilian
156,10-11-1950,,Poseł niezrzeszony,7389,Prawo i Sprawiedliwość,26  Gdynia,brak,, doktor,"Politechnika Gdańska, Wydział Chemiczny, Chemia - magister inżynier (1973)",25-10-2015,,wyższe,inżynier chemik,Jan Klawiter
157,08-05-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,43648,Prawo i Sprawiedliwość,30  Rybnik,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, senator VIII kadencji",,,"Uniwersytet Śląski, Wydział Pedagogika i Psychologia, Pedagogika - magister (1997)",25-10-2015,,wyższe,senator RP,Izabela Kloc
158,14-12-1963,,Klub Parlamentarny Platforma Obywatelska,12807,Platforma Obywatelska,19  Warszawa,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Dziennikarstwo, Nauki Polityczne, Dziennikarstwo - magister (1993)",25-10-2015,,wyższe,dziennikarz,Joanna Kluzik-Rostkowska
159,15-11-1953,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,9143,Polskie Stronnictwo Ludowe,4  Bydgoszcz,"poseł III kadencji, poseł IV kadencji, poseł VI kadencji, poseł VII kadencji",, doktor,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Zootechniczny, Zootechnika - magister inżynier (1977)",25-10-2015,,wyższe,inżynier zootechniki,Eugeniusz Kłopotek
160,Klub Parlamentarny Prawo i Sprawiedliwość,,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",17048,Prawo i Sprawiedliwość,21  Opole,Uzyskał mandat posła do Parlamentu Europejskiego,,,wyższe,25-10-2015,2015-11-26,21-02-1964,"Wyższa Szkoła Pedagogiczna w Opolu, Wydział Filologiczno-Historyczny, Historia - magister (1988)",Sławomir Kłosowski
161,21-12-1965,,Klub Poselski Kukiz'15,5168,Kukiz'15,34  Elbląg,brak,,,WPK Gdańsk (1983),25-10-2015,,zasadnicze zawodowe,przedsiębiorca,Andrzej Kobylarz
162,03-06-1982,,Klub Poselski Nowoczesna,13905,Kukiz'15,29  Gliwice,brak,,,"Akademia Ekonomiczna w Katowicach, Wydział Zarządzania, Zarządzanie Przedsiębiorstwem - magister (2006)",25-10-2015,,wyższe,mgr ekonomii,Paweł Kobyliński
163,28-01-1950,,Klub Parlamentarny Platforma Obywatelska,8972,Platforma Obywatelska,41  Szczecin,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Państwowa Wyższa Szkoła Muzyczna w Poznaniu, Wydział Wychowanie Muzyczne, Wychowanie Muzyczne - magister sztuki (1976)",25-10-2015,,wyższe,magister sztuki,Magdalena Kochan
164,19-10-1972,,Klub Parlamentarny Platforma Obywatelska,6421,Platforma Obywatelska,2  Wałbrzych,poseł VII kadencji,,,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Zarządzanie (administracja) - magister (2000)",25-10-2015,,wyższe,przedstawiciel władzy samorządowej,Agnieszka Kołacz-Leszczyńska
165,13-06-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,15106,Prawo i Sprawiedliwość,24  Białystok,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Administracja - magister (1992)",25-10-2015,,wyższe,poseł na Sejm RP,Lech Kołakowski
166,15-03-1963,,Klub Parlamentarny Prawo i Sprawiedliwość,10960,Prawo i Sprawiedliwość,16  Płock,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Humanistyczna w Pułtusku, Wydział Historii, specjalność nauczycielska i europeistyka - magister (1999)",25-10-2015,,wyższe,historyk,Robert Kołakowski
167,24-03-1974,,Klub Parlamentarny Platforma Obywatelska,10783,Platforma Obywatelska,26  Gdynia,"poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna, Wydział Filozoficzno-Historyczny, Historia - magister (1999)",25-10-2015,,wyższe,historyk,Zbigniew Konwiński
168,03-12-1956,,Klub Parlamentarny Platforma Obywatelska,230894,Platforma Obywatelska,19  Warszawa,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Medyczna, Wydział Lekarski - lekarz (1981)",25-10-2015,,wyższe,lekarz medycyny,Ewa Kopacz
169,02-01-1967,,Klub Parlamentarny Prawo i Sprawiedliwość,17911,Prawo i Sprawiedliwość,9  Łódź,brak,,,"Akademia Medyczna, Wydział Lekarski - lekarz (1997)",25-10-2015,,wyższe,lekarz,Joanna Kopcińska
170,20-08-1974,,Klub Parlamentarny Platforma Obywatelska,28727,Platforma Obywatelska,25  Gdańsk,brak,,,"Akademia Wychowania Fizycznego w Gdańsku, Wychowanie fizyczne - magister (2000)",25-10-2015,,wyższe,nauczyciel akademicki,Adam Korol
171,01-01-1955,,Klub Parlamentarny Platforma Obywatelska,20084,Platforma Obywatelska,21  Opole,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Akademia Rolnicza we Wrocławiu, Wydział Ekonomika i Zarządzanie, Rolnictwo - magister inżynier (1981)",25-10-2015,,wyższe,parlamentarzysta,Leszek Korzeniowski
172,15-02-1966,,Klub Parlamentarny Platforma Obywatelska,3258,Platforma Obywatelska,19  Warszawa,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Liceum Ekonomiczne dla Dorosłych nr 9 w ZSE nr 5, Ekonomika i organizacja przedsiębiorstwa handlowego - technik (2000)",25-10-2015,,średnie zawodowe,trener piłkarski,Roman Jacek Kosecki
173,10-08-1981,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,12171,Polskie Stronnictwo Ludowe,15  Tarnów,brak,, doktor,"Uniwersytet Jagielloński w Krakowie, Wydział Lekarski - lekarz (2006)",25-10-2015,,wyższe,lekarz,Władysław Kosiniak-Kamysz
174,23-04-1977,,Klub Parlamentarny Prawo i Sprawiedliwość,8183,Prawo i Sprawiedliwość,35  Olsztyn,poseł VI kadencji,,,"Uniwersytet Warmińsko-Mazurski, Wydział administracja, Prawo i administracja - magister (2002)",25-10-2015,,wyższe,prawnik,Wojciech Kossakowski
175,07-03-1974,,Klub Parlamentarny Platforma Obywatelska,11016,Platforma Obywatelska,21  Opole,brak,,,"Uniwersytet Opolski, Wydział humanistyczno-historyczny, Politologia i nauki społeczne - magister (1998)",25-10-2015,,wyższe,wyższy urzędnik samorządowy,Tomasz Kostuś
176,31-03-1976,,Klub Parlamentarny Prawo i Sprawiedliwość,23521,Prawo i Sprawiedliwość,17  Radom,brak,,,"Politechnika Radomska, Wydział Ekonomiczny, Ekonomia - magister (2001)",25-10-2015,,wyższe,ekonomista,Andrzej Kosztowniak
177,22-02-1951,,Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów,6851,Polskie Stronnictwo Ludowe,33  Kielce,brak,,,"Akademia Rolnicza w Lublinie, Wydział Rolniczy - magister inżynier (1974)",25-10-2015,,wyższe,pracownik samorządowy,Kazimierz Kotowski
178,15-07-1956,,Klub Parlamentarny Prawo i Sprawiedliwość,22850,Prawo i Sprawiedliwość,18  Siedlce,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Matematyki, Matematyka - magister (1979)",25-10-2015,,wyższe,parlamentarzysta,Henryk Kowalczyk
179,11-08-1979,,Klub Parlamentarny Prawo i Sprawiedliwość,9044,Prawo i Sprawiedliwość,4  Bydgoszcz,poseł VII kadencji,,,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2003)",25-10-2015,,wyższe,adwokat,Bartosz Kownacki
180,29-05-1974,,Klub Parlamentarny Prawo i Sprawiedliwość,6851,Prawo i Sprawiedliwość,4  Bydgoszcz,brak,,,"Uniwersytet Kazimierza Wielkiego w Bydgoszczy, Wydział Administracji i Nauk Społecznych, Administracja - magister (2012)",25-10-2015,,wyższe,ekonomista,Ewa Kozanecka
181,12-02-1962,,Klub Poselski Kukiz'15,10587,Kukiz'15,36  Kalisz,brak,,,"Policealne Studium Zawodowe przy MERA-ZAP, Telewizja radioelektronika - technik (1982)",25-10-2015,,średnie policelane/pomaturalne,przedsiębiorca,Jerzy Kozłowski
182,09-03-1979,,Klub Parlamentarny Prawo i Sprawiedliwość,20503,Prawo i Sprawiedliwość,38  Piła,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2000)",25-10-2015,2016-06-30,wyższe,parlamentarzysta,Maks Kraczkowski
183,09-03-1983,,Klub Parlamentarny Prawo i Sprawiedliwość,4753,Prawo i Sprawiedliwość,19  Warszawa,brak,,,"Uniwersytet Warszawski, Wydział dziennikarstwa i nauk politycznych, Politologia - magister (2008)",25-10-2015,,wyższe,politolog,Jarosław Krajewski
184,03-06-1964,,Klub Parlamentarny Prawo i Sprawiedliwość,13060,Prawo i Sprawiedliwość,15  Tarnów,brak,,,"Uniwersytet Rzeszowski, Wydział Prawa, Administracja - magister (2004)",25-10-2015,,wyższe,przedsiębiorca,Wiesław Krajewski
185,08-11-1950,,Klub Parlamentarny Prawo i Sprawiedliwość,10194,Prawo i Sprawiedliwość,34  Elbląg,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,Liceum Ogólnokształcące w Gdańsku (1968),25-10-2015,,średnie ogólne,poseł na Sejm,Leonard Krasulski
186,23-07-1974,,Klub Parlamentarny Platforma Obywatelska,8439,Platforma Obywatelska,1  Legnica,"poseł VI kadencji, poseł VII kadencji",, doktor,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Politologia - magister (1999)",25-10-2015,,wyższe,nauczyciel akademicki,Robert Kropiwnicki
187,26-06-1974,,Klub Parlamentarny Prawo i Sprawiedliwość,10773,Prawo i Sprawiedliwość,4  Bydgoszcz,poseł VII kadencji,,,"Wyższa Szkoła Pedagogiczna w Bydgoszczy, Politologia - magister (1999)",25-10-2015,,wyższe,politolog,Piotr Król
188,22-04-1985,,Klub Parlamentarny Platforma Obywatelska,7465,Platforma Obywatelska,31  Katowice,brak,,,"Uniwersytet Śląski, Wydział Radia i telewizji, Organizacja produkcji filmowej i TV - licencjat (2007)",25-10-2015,,wyższe,pracownik administracji,Wojciech Król
189,19-11-1959,,Klub Parlamentarny Prawo i Sprawiedliwość,43432,Prawo i Sprawiedliwość,6  Lublin,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Katolicki Uniwersytet Lubelski Jana Pawła II, Historia - magister (1984)",25-10-2015,,wyższe,historyk,Elżbieta Kruk
190,30-10-1981,,Klub Parlamentarny Prawo i Sprawiedliwość,27568,Prawo i Sprawiedliwość,33  Kielce,brak,,,"Uniwersytet Warszawski, Wydział filozofii i socjologii, Socjologia - magister (2008)",25-10-2015,,wyższe,socjolog,Anna Krupka
191,09-06-1960,,Klub Parlamentarny Prawo i Sprawiedliwość,4779,Prawo i Sprawiedliwość,33  Kielce,brak,,,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział humanistyczny, Historia - magister (1984)",25-10-2015,,wyższe,urzędnik samorządowy,Andrzej Kryj
192,16-04-1970,,Klub Parlamentarny Prawo i Sprawiedliwość,7624,Prawo i Sprawiedliwość,24  Białystok,brak,,,"Wszechnica Mazurska w Olecku, Wydział Pedagogiczny, Pedagogika opiekuńczo-wychowawcza z promocją zdrowia - licencjat (1999)",25-10-2015,,wyższe,pielęgniarka,Bernadeta Krynicka
193,22-10-1967,,Klub Parlamentarny Platforma Obywatelska,15404,Platforma Obywatelska,30  Rybnik,"poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia germańska - magister (1995)",25-10-2015,,wyższe,nauczyciel języka obcego,Marek Krząkała
194,27-03-1953,,Klub Parlamentarny Platforma Obywatelska,24333,Platforma Obywatelska,26  Gdynia,brak,,,Liceum Ogólnokształcące Centrum Kształcenia Ustawicznego w Kościerzynie (2004),25-10-2015,,średnie ogólne,emeryt,Henryka Krzywonos-Strycharska
195,15-04-1971,,Klub Parlamentarny Prawo i Sprawiedliwość,8004,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,brak,,,"Technikum Górnicze, Wydział Elektryczny, Eksploatacja maszyn i urządzeń górnictwa - technik (1991)",25-10-2015,,średnie zawodowe,samorządowiec,Dariusz Kubiak
196,22-07-1984,,Klub Parlamentarny Prawo i Sprawiedliwość,14551,Prawo i Sprawiedliwość,1  Legnica,brak,,,"Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Administracja - magister (2008)",25-10-2015,,wyższe,administratywista,Krzysztof Kubów
