,PiS,PO,Kukiz15,N,PSL-UED,WiS,niez.,Republikanie,posel,najblizsza_partia,partia_ostatnio
356,0.692049408114,0.101903540182,0.509844726775,0.265213109764,0.99980735889,0.764894368458,0.547423654494,0.906761702947,SIEMONIAK TOMASZ,PO,PO
357,0.589962103421,0.532803459694,0.296917188128,0.559407819072,0.99980735889,0.685298272651,0.555358480643,0.90040454633,SITARSKI KRZYSZTOF,Kukiz15,Kukiz15
358,0.69953445987,0.122621241662,0.514991692666,0.274523491014,0.99980735889,0.77014062801,0.552138545651,0.907275412573,SKOWRO?SKA KRYSTYNA,PO,PO
359,0.0517332283976,0.702593371202,0.561080648117,0.72832845695,0.99980735889,0.339648751043,0.432432889036,0.917613818789,SKURKIEWICZ WOJCIECH,PiS,PiS
360,0.574878543526,0.579337601239,0.311573363821,0.593274552588,0.99980735889,0.686868297695,0.532790192427,0.908688114044,SKUTECKI PAWE?,Kukiz15,Kukiz15
361,0.0798747933542,0.705016202134,0.559360758533,0.72498238642,0.99980735889,0.360168239902,0.441073683696,0.919604443588,SMIRNOW ANDRZEJ,PiS,PiS
362,0.0701145107179,0.707795406303,0.567749315411,0.730897024828,0.99980735889,0.352928144866,0.440260310122,0.919347588775,SMOLI?SKI KAZIMIERZ,PiS,PiS
363,0.0605653468156,0.704954817867,0.561388573735,0.729859200092,0.99980735889,0.344689526745,0.435013821235,0.918320169524,SOBECKA ANNA EL?BIETA,PiS,PiS
364,0.0724587781378,0.709237654004,0.571146915732,0.731336533902,0.99980735889,0.360325563475,0.445334339348,0.917934887305,SOBIERAJSKI CZES?AW,PiS,PiS
365,0.0523927236028,0.702685343471,0.558997689742,0.728549299627,0.99980735889,0.339167148269,0.430859576862,0.917421177679,SOBO? ARTUR,PiS,PiS
366,0.708310791189,0.176420005676,0.532089897473,0.320139245123,0.99980735889,0.779647466769,0.571205811034,0.906569061838,SONIK BOGUS?AW,PO,PO
367,0.671135907896,0.261969858946,0.502133802339,0.324664557673,0.99980735889,0.745334874462,0.551033381952,0.909266037372,SOSNOWSKI ZBIGNIEW,PO,UED
368,0.711726882194,0.178066727097,0.510594547984,0.218315081582,0.99980735889,0.782533872728,0.563575770641,0.906633275541,SOWA MAREK,PO,N
369,0.0915358295411,0.708375362656,0.570964275416,0.73287538754,0.99980735889,0.371903294163,0.441366773384,0.921402427278,SO?NIERZ ANDRZEJ,PiS,PiS
370,0.0539506515247,0.701620804077,0.559674409426,0.727116679243,0.99980735889,0.341889809285,0.431970244593,0.918898092853,SPRAWKA LECH,PiS,PiS
371,0.0951931721687,0.710770740359,0.573097449199,0.730923204457,0.99980735889,0.37995248186,0.451912268792,0.921916136904,STACHOWIAK-RÓ?ECKA MIROS?AWA,PiS,PiS
372,0.0456351684796,0.701023664684,0.557640433775,0.726694799316,0.99980735889,0.334672189045,0.427874786337,0.917421177679,STARZYCKI DARIUSZ,PiS,PiS
373,0.701549204063,0.209924822872,0.523351323546,0.197148463057,0.99980735889,0.772022089514,0.569443832885,0.908302831824,STASI?SKI MICHA?,N,PO
374,0.134682933098,0.656607030701,0.543904003338,0.682242710412,0.914082065113,0.254803185,0.457082007015,0.831760097605,STAWIARSKI BART?OMIEJ,PiS,PiS
375,0.0662023067113,0.704436831146,0.56470903854,0.72981885939,0.99980735889,0.344920696077,0.441321365122,0.917613818789,STAWIARSKI JAROS?AW,PiS,PiS
376,0.0876781665623,0.701819711645,0.564031491154,0.7219836061,0.988345212868,0.344057021768,0.433679246437,0.905445322032,STRZA?KOWSKI STEFAN,PiS,PiS
